Epoch 1, MSE: 52.194817
Epoch 2, MSE: 36.740948
Epoch 3, MSE: 27.346445
Epoch 4, MSE: 23.265339
Epoch 5, MSE: 21.568325
Epoch 6, MSE: 20.595783
Epoch 7, MSE: 19.809361
Epoch 8, MSE: 19.053705
Epoch 9, MSE: 18.324436
Epoch 10, MSE: 17.608391
Epoch 11, MSE: 16.874187
Epoch 12, MSE: 16.115618
Epoch 13, MSE: 15.338848
Epoch 14, MSE: 14.552951
Epoch 15, MSE: 13.744242
Epoch 16, MSE: 12.874496
Epoch 17, MSE: 12.008284
Epoch 18, MSE: 11.137628
Epoch 19, MSE: 10.241958
Epoch 20, MSE: 9.361209
Epoch 21, MSE: 8.462851
Epoch 22, MSE: 7.601495
Epoch 23, MSE: 6.787519
Epoch 24, MSE: 5.995844
Epoch 25, MSE: 5.275200
Epoch 26, MSE: 4.656042
Epoch 27, MSE: 4.159580
Epoch 28, MSE: 3.771286
Epoch 29, MSE: 3.449540
Epoch 30, MSE: 3.191533
Epoch 31, MSE: 2.983054
Epoch 32, MSE: 2.822515
Epoch 33, MSE: 2.699475
Epoch 34, MSE: 2.603747
Epoch 35, MSE: 2.525953
Epoch 36, MSE: 2.459396
Epoch 37, MSE: 2.400362
Epoch 38, MSE: 2.348526
Epoch 39, MSE: 2.302680
Epoch 40, MSE: 2.262743
Epoch 41, MSE: 2.227233
Epoch 42, MSE: 2.194510
Epoch 43, MSE: 2.163395
Epoch 44, MSE: 2.134535
Epoch 45, MSE: 2.107915
Epoch 46, MSE: 2.082478
Epoch 47, MSE: 2.057774
Epoch 48, MSE: 2.034461
Epoch 49, MSE: 2.012409
Epoch 50, MSE: 1.991500
Epoch 51, MSE: 1.971222
Epoch 52, MSE: 1.952026
Epoch 53, MSE: 1.933939
Epoch 54, MSE: 1.916632
Epoch 55, MSE: 1.900121
Epoch 56, MSE: 1.884213
Epoch 57, MSE: 1.868988
Epoch 58, MSE: 1.854417
Epoch 59, MSE: 1.840343
Epoch 60, MSE: 1.827015
Epoch 61, MSE: 1.814308
Epoch 62, MSE: 1.802078
Epoch 63, MSE: 1.790202
Epoch 64, MSE: 1.778701
Epoch 65, MSE: 1.767639
Epoch 66, MSE: 1.756861
Epoch 67, MSE: 1.746402
Epoch 68, MSE: 1.736420
Epoch 69, MSE: 1.726750
Epoch 70, MSE: 1.717390
Epoch 71, MSE: 1.708205
Epoch 72, MSE: 1.699344
Epoch 73, MSE: 1.690521
Epoch 74, MSE: 1.681934
Epoch 75, MSE: 1.673560
Epoch 76, MSE: 1.665379
Epoch 77, MSE: 1.657282
Epoch 78, MSE: 1.649391
Epoch 79, MSE: 1.641683
Epoch 80, MSE: 1.634311
Epoch 81, MSE: 1.626994
Epoch 82, MSE: 1.619820
Epoch 83, MSE: 1.612757
Epoch 84, MSE: 1.605780
Epoch 85, MSE: 1.599000
Epoch 86, MSE: 1.592325
Epoch 87, MSE: 1.585805
Epoch 88, MSE: 1.579409
Epoch 89, MSE: 1.573129
Epoch 90, MSE: 1.566930
Epoch 91, MSE: 1.560836
Epoch 92, MSE: 1.554812
Epoch 93, MSE: 1.548911
Epoch 94, MSE: 1.543175
Epoch 95, MSE: 1.537567
Epoch 96, MSE: 1.532050
Epoch 97, MSE: 1.526672
Epoch 98, MSE: 1.521381
Epoch 99, MSE: 1.516269
Training time: 22.0572 seconds
